DEBUG 2024-11-01 00:20:52,191 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1730319201.601009
DEBUG 2024-11-01 00:20:52,191 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1730319205.68517
DEBUG 2024-11-01 00:20:52,192 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1730319205.9341776
DEBUG 2024-11-01 00:20:52,192 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1730319205.5140834
DEBUG 2024-11-01 00:20:52,192 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1730319205.9019492
DEBUG 2024-11-01 00:20:52,193 autoreload File C:\Users\ricar\mediatheque\bibliotheque\models.py first seen with mtime 1730416098.8031898
DEBUG 2024-11-01 00:20:52,193 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\asyncio\streams.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,193 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1730319203.0153997
DEBUG 2024-11-01 00:20:52,194 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1730319205.4905956
DEBUG 2024-11-01 00:20:52,194 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\asyncio\futures.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,194 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1730319205.677804
DEBUG 2024-11-01 00:20:52,195 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\utils\cache.py first seen with mtime 1730319205.8684447
DEBUG 2024-11-01 00:20:52,195 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\paginator.py first seen with mtime 1730319205.4657261
DEBUG 2024-11-01 00:20:52,195 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1730319205.5069664
DEBUG 2024-11-01 00:20:52,196 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1730319205.4979267
DEBUG 2024-11-01 00:20:52,196 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\checks\database.py first seen with mtime 1730319205.484516
DEBUG 2024-11-01 00:20:52,197 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1730319205.8948085
DEBUG 2024-11-01 00:20:52,197 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\email\mime\nonmultipart.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,197 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1730319205.5205212
DEBUG 2024-11-01 00:20:52,198 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlparse\utils.py first seen with mtime 1729613215.8896146
DEBUG 2024-11-01 00:20:52,198 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\sessions\backends\__init__.py first seen with mtime 1730319204.8443103
DEBUG 2024-11-01 00:20:52,199 autoreload File C:\Users\ricar\mediatheque\emprunteur\models.py first seen with mtime 1730413376.6925955
DEBUG 2024-11-01 00:20:52,199 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\urls\utils.py first seen with mtime 1730319205.8623538
DEBUG 2024-11-01 00:20:52,199 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\logging\handlers.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,200 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1730319201.5908906
DEBUG 2024-11-01 00:20:52,200 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\enums.py first seen with mtime 1730319205.6602006
DEBUG 2024-11-01 00:20:52,201 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1730319205.1423492
DEBUG 2024-11-01 00:20:52,201 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\bisect.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,202 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\email\_encoded_words.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,202 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\asyncio\queues.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,202 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1730319205.4895835
DEBUG 2024-11-01 00:20:52,203 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1730319205.441867
DEBUG 2024-11-01 00:20:52,203 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1730319204.260518
DEBUG 2024-11-01 00:20:52,204 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1730319205.6269517
DEBUG 2024-11-01 00:20:52,204 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\forms\__init__.py first seen with mtime 1730319205.7009432
DEBUG 2024-11-01 00:20:52,204 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1730319205.673648
DEBUG 2024-11-01 00:20:52,205 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\email\__init__.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,205 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1730319205.4959264
DEBUG 2024-11-01 00:20:52,205 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\middleware\clickjacking.py first seen with mtime 1730319205.8070984
DEBUG 2024-11-01 00:20:52,206 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\html\entities.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,206 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\asyncio\coroutines.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,206 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\utils\safestring.py first seen with mtime 1730319205.9050014
DEBUG 2024-11-01 00:20:52,207 autoreload File C:\Users\ricar\mediatheque\emprunteur\urls.py first seen with mtime 1730415175.5708275
DEBUG 2024-11-01 00:20:52,207 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1730319205.8255584
DEBUG 2024-11-01 00:20:52,207 autoreload File C:\Users\ricar\mediatheque\mediatheque\urls.py first seen with mtime 1730414994.6577277
DEBUG 2024-11-01 00:20:52,207 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\email\generator.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,208 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\argparse.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,208 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1729613215.9053826
DEBUG 2024-11-01 00:20:52,208 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1730319202.3703568
DEBUG 2024-11-01 00:20:52,209 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\options.py first seen with mtime 1730319205.6653733
DEBUG 2024-11-01 00:20:52,209 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\signals.py first seen with mtime 1730319205.668547
DEBUG 2024-11-01 00:20:52,210 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1730319202.6768832
DEBUG 2024-11-01 00:20:52,210 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\DLLs\_asyncio.pyd first seen with mtime 1728289646.0
DEBUG 2024-11-01 00:20:52,211 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\functools.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,211 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\multiprocessing\reduction.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,212 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1730319205.4885328
DEBUG 2024-11-01 00:20:52,212 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1730319205.4969268
DEBUG 2024-11-01 00:20:52,213 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1730319205.5039282
DEBUG 2024-11-01 00:20:52,213 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\asgiref\sync.py first seen with mtime 1729613216.0317254
DEBUG 2024-11-01 00:20:52,214 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\template\loader.py first seen with mtime 1730319205.8245318
DEBUG 2024-11-01 00:20:52,214 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1730319205.9029496
DEBUG 2024-11-01 00:20:52,215 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\constants.py first seen with mtime 1730319205.6571507
DEBUG 2024-11-01 00:20:52,215 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1730319205.569595
DEBUG 2024-11-01 00:20:52,216 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\forms\renderers.py first seen with mtime 1730319205.707122
DEBUG 2024-11-01 00:20:52,216 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1729613215.9053826
DEBUG 2024-11-01 00:20:52,216 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\asyncio\threads.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,217 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\zoneinfo\__init__.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,217 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\pprint.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,218 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\gzip.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,218 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\DLLs\_zoneinfo.pyd first seen with mtime 1728289646.0
DEBUG 2024-11-01 00:20:52,218 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1730319201.59496
DEBUG 2024-11-01 00:20:52,219 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\template\smartif.py first seen with mtime 1730319205.8276634
DEBUG 2024-11-01 00:20:52,219 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1730319205.844235
DEBUG 2024-11-01 00:20:52,220 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\views\debug.py first seen with mtime 1730319205.9250865
DEBUG 2024-11-01 00:20:52,220 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\bz2.py first seen with mtime 1728289608.0
DEBUG 2024-11-01 00:20:52,221 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1730319205.9453356
DEBUG 2024-11-01 00:20:52,222 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\apps\config.py first seen with mtime 1730319201.1042798
DEBUG 2024-11-01 00:20:52,222 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1730319205.512028
DEBUG 2024-11-01 00:20:52,223 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\http\request.py first seen with mtime 1730319205.8030312
DEBUG 2024-11-01 00:20:52,223 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1730319201.606101
DEBUG 2024-11-01 00:20:52,224 autoreload File C:\Users\ricar\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\shortcuts.py first seen with mtime 1730319201.1012268
